TransactionDate,Description,Category,Type,Amount
04/22/2024,AMZN Mktp US*T09SH86D3 Amzn.com/billWA,,Sale,-12.66
04/22/2024,FAMILY DOLLAR IVINS UT,,Sale,-10.38
04/19/2024,US PRO GAS SANTA CRUZ CA,,Sale,-45.79
04/19/2024,JOY PARK FLY SAN JOSE CA,,Sale,-109.96
04/19/2024,7-ELEVEN 16346 SANTA CRUZ CA,,Sale,-14.27
04/19/2024,ST. GEORGE SHUTTLE ST GEORGE UT,,Sale,-47.9
04/17/2024,WEBOX _ SANTA CLARA CA,,Sale,-1.05
04/15/2024,US PRO GAS SANTA CRUZ CA,,Sale,-38.79
04/15/2024,US PRO GAS SANTA CRUZ CA,,Sale,-2.75
04/15/2024,SQ *THE GAME FORTRESS Novato CA,,Sale,-17.51
04/15/2024,SAFEWAY #2607 SANTA CRUZ CA,,Sale,-77.85
04/13/2024,CHATGPT SUBSCRIPTION SAN FRANCISCOCA,,Sale,-20.0
04/12/2024,THE HALAL GUYS SANTA CLARA CA,,Sale,-17.45
04/11/2024,7-ELEVEN 16346 SANTA CRUZ CA,,Sale,-2.94
04/10/2024,TACO BELL 725391 ST GEORGE UT,,Sale,-13.82
04/09/2024,BA ELECTRONIC PAYMENT,,Sale,965.71
04/09/2024,The Adobe Icebox Ivins UT,,Sale,-13.45
04/08/2024,SALT LAKE EXPRESS REXBURG ID,,Sale,-44.45
04/05/2024,HARMONS-SANTA CLARA SANTA CLARA UT,,Sale,-28.2
04/04/2024,HARMONS-SANTA CLARA SANTA CLARA UT,,Sale,-31.69
04/04/2024,HARMONS-SANTA CLARA SANTA CLARA UT,,Sale,-14.0
04/04/2024,HARMONS-SANTA CLARA SANTA CLARA UT,,Sale,-11.99
04/04/2024,DIGBY'S MARKET ST. GEORGE UT,,Sale,-11.09
04/04/2024,DIGBY'S MARKET ST. GEORGE UT,,Sale,-61.14
04/04/2024,Premier Dental SAINT GEORGE UT,,Sale,-32.0
04/04/2024,DUNKIN A6 SJC SAN JOSE CA,,Sale,-9.38
04/03/2024,SALT LAKE EXPRESS REXBURG ID,,Sale,-79.3
04/03/2024,CLAUDE.AI SUBSCRIPTION SAN FRANCISCOCA,,Sale,-20.0
04/03/2024,SPIRIT AI 48703874183370 MIRAMAR FL,,Sale,-9.0
04/02/2024,US PRO GAS SANTA CRUZ CA,,Sale,-37.58
04/02/2024,JOY PARK FLY SAN JOSE CA,,Sale,-71.51
04/02/2024,7-ELEVEN 16346 SANTA CRUZ CA,,Sale,-7.47
04/02/2024,ST. GEORGE SHUTTLE ST GEORGE UT,,Sale,-28.0
04/02/2024,ST. GEORGE SHUTTLE ST GEORGE UT,,Sale,-39.9
04/01/2024,INTUIT *TURBOTAX CL.INTUIT.COMCA,,Sale,-237.0
04/01/2024,SAFEWAY #0799 SANTA CRUZ CA,,Sale,-13.51
04/01/2024,SPIRIT AI 48703870024090 MIRAMAR FL,,Sale,-100.09
04/01/2024,SPIRIT AI 48703870067870 MIRAMAR FL,,Sale,-39.09
03/30/2024,HERNANDEZ MARKET #2 SANTA CRUZ CA,,Sale,-19.46
03/30/2024,EMA KARAOKE AND BAR SANTA CLARA CA,,Sale,-32.74
03/29/2024,MASABI_SCMETRO 831-425-8600 CA,,Sale,-3.5
03/27/2024,WEBOX _ SANTA CLARA CA,,Sale,-1.05
03/26/2024,MASABI_SCMETRO 831-425-8600 CA,,Sale,1.0
03/26/2024,MASABI_SCMETRO 831-425-8600 CA,,Sale,-1.0
03/26/2024,MASABI_SCMETRO 831-425-8600 CA,,Sale,-1.0
03/26/2024,MASABI_SCMETRO 831-425-8600 CA,,Sale,-1.0
03/26/2024,SPIRIT AI 48703864783180 MIRAMAR FL,,Sale,-65.18
03/25/2024,BA ELECTRONIC PAYMENT,,Sale,163.11
03/25/2024,BA ELECTRONIC PAYMENT,,Sale,163.11
03/25/2024,CVS/PHARMACY #09332 SANTA CRUZ CA,,Sale,-31.91
03/25/2024,SAFEWAY #2607 SANTA CRUZ CA,,Sale,-31.41
03/25/2024,SAFEWAY #2607 SANTA CRUZ CA,,Sale,-15.18
