TransactionDate,Description,Category,Type,Amount
06/21/2024,HERNANDEZ MARKET #2 SANTA CRUZ CA,,Sale,-13.56
06/21/2024,RESERVHOTEL N MIAMI BEACHFL,,Sale,-100.0
06/21/2024,SAFEWAY #2607 SANTA CRUZ CA,,Sale,-8.73
06/21/2024,AMERICAN 00170783434500 MIAMI FL,,Sale,-840.38
06/21/2024,AMERICAN 00170783434496 MIAMI FL,,Sale,-840.38
06/20/2024,TRAVEL INSURANCE 866-347-6673 IN,,Sale,-119.96
06/20/2024,TACO BELL 730787 REDWOOD CITY CA,,Sale,-20.08
06/19/2024,PANDA EXPRESS #1860 SANTA CRUZ CA,,Sale,-13.77
06/19/2024,IN-N-OUT SALINAS SALINAS CA,,Sale,-16.44
06/18/2024,MCDONALD'S M2115 OF VAN NUYS CA,,Sale,-3.82
06/17/2024,VONS #2370 SAN DIEGO CA,,Sale,-2.69
06/17/2024,RITE AID 05658 SAN DIEGO CA,,Sale,-16.27
06/17/2024,SAFEWAY #2607 SANTA CRUZ CA,,Sale,-71.43
06/15/2024,7-ELEVEN 16346 SANTA CRUZ CA,,Sale,-9.58
06/14/2024,HERNANDEZ MARKET #2 SANTA CRUZ CA,,Sale,-21.0
06/14/2024,ROTTEN ROBBIE #39 SANTA CLARA CA,,Sale,-33.88
06/14/2024,HOLIDAY INN SAN JOSE SAN JOSE CA,,Sale,-15.0
06/13/2024,OPENAI *CHATGPT SUBSCR SAN FRANCISCOCA,,Sale,-20.0
06/13/2024,CAFFEIN (SANTA CLARA) CHICAGO IL,,Sale,-34.37
06/13/2024,AMAZON.COM*QT67N1XQ3 SEATTLE WA,,Sale,-21.23
06/12/2024,HAPPY LEMON - SJ COLEM SAN JOSE CA,,Sale,-13.25
06/12/2024,TARGET 00020883 SAN JOSE CA,,Sale,-55.67
06/12/2024,PRICELINE.COM 8007742354 CT,,Sale,-155.66
06/12/2024,SAFEWAY #2607 SANTA CRUZ CA,,Sale,-75.63
06/11/2024,7-ELEVEN 16346 SANTA CRUZ CA,,Sale,-18.06
06/10/2024,CVS/PHARMACY #09332 SANTA CRUZ CA,,Sale,-8.41
06/10/2024,FRONTLINE FOOD SERVIC SANTA CRUZ CA,,Sale,-2.25
06/10/2024,SAFEWAY #2607 SANTA CRUZ CA,,Sale,-48.11
06/10/2024,SPIRIT AI 48703957211020 MIRAMAR FL,,Sale,-66.36
06/08/2024,SALT LAKE EXPRESS REXBURG ID,,Sale,-51.95
06/08/2024,STARBUCKS 11900 SAN JOSE CA,,Sale,-5.75
06/08/2024,SPIRIT AI 48703955420650 MIRAMAR FL,,Sale,-182.73
06/07/2024,SALT LAKE EXPRESS REXBURG ID,,Sale,-49.34
06/07/2024,COMMONS EAST CAFE QPS SANTA CLARA CA,,Sale,-19.64
06/06/2024,HERNANDEZ MARKET #2 SANTA CRUZ CA,,Sale,-9.22
06/06/2024,CARDKINGDOM.COM 206-523-2273 WA,,Sale,-15.11
06/05/2024,US PRO GAS SANTA CRUZ CA,,Sale,-35.96
06/03/2024,SAFEWAY #2607 SANTA CRUZ CA,,Sale,-29.3
06/01/2024,CLAUDE.AI SUBSCRIPTION SAN FRANCISCOCA,,Sale,-20.0
05/31/2024,BA ELECTRONIC PAYMENT,,Sale,696.72
05/30/2024,EL HERMOSO MAR SANTA CRUZ CA,,Sale,-10.65
05/30/2024,THE HALAL GUYS SANTA CLARA CA,,Sale,-16.36
05/28/2024,7-ELEVEN 16346 SANTA CRUZ CA,,Sale,-18.55
05/28/2024,IN-N-OUT SANTA CLARA SANTA CLARA CA,,Sale,-18.44
05/27/2024,BURGER KING #4447 Q07 SANTA CRUZ CA,,Sale,-11.67
05/27/2024,SAFEWAY #2607 SANTA CRUZ CA,,Sale,-43.5
05/27/2024,SAFEWAY #2607 SANTA CRUZ CA,,Sale,-7.02
05/25/2024,EMA KARAOKE AND BAR SANTA CLARA CA,,Sale,-10.3
05/25/2024,EMA KARAOKE AND BAR SANTA CLARA CA,,Sale,-28.33
05/24/2024,MASABI_SCMETRO 831-425-8600 CA,,Sale,-3.5
05/24/2024,7-ELEVEN 16346 SANTA CRUZ CA,,Sale,-18.05
