TransactionDate,Description,Category,Type,Amount
10/22/2024,AMAZON MKTPLACE PMTS Amzn.com/billWA,,Sale,59.77
10/21/2024,TACO BELL 725391 ST GEORGE UT,,Sale,-10.21
10/21/2024,BA ELECTRONIC PAYMENT,,Sale,4.75
10/16/2024,BA ELECTRONIC PAYMENT,,Sale,274.7
10/16/2024,AMAZON MKTPL*X44Z29YV3 Amzn.com/billWA,,Sale,-37.29
10/14/2024,OPENAI *CHATGPT SUBSCR SAN FRANCISCOCA,,Sale,-20.0
10/10/2024,AMAZON RETA* NE9D39R83 SEATTLE WA,,Sale,-26.87
10/10/2024,AMAZON MKTPL*IP18036L3 Amzn.com/billWA,,Sale,-59.77
10/09/2024,AMZN Mktp US*X614W7LB3 Amzn.com/billWA,,Sale,-12.01
09/27/2024,AMAZON MARK* ZJ4685WY3 SEATTLE WA,,Sale,-10.66
09/25/2024,AMZN Mktp US*2V5LV89U3 Amzn.com/billWA,,Sale,-140.64
