TransactionDate,Description,Category,Type,Amount
09/23/2024,INTEREST CHARGED ON PURCHASES,,Sale,-4.75
09/17/2024,BA ELECTRONIC PAYMENT,,Sale,101.2
09/13/2024,OPENAI *CHATGPT SUBSCR SAN FRANCISCOCA,,Sale,-20.0
09/12/2024,AMAZON MKTPL*Z810Q3L61 Amzn.com/billWA,,Sale,-25.67
09/10/2024,Microsoft*Ultimate 1 M Redmond WA,,Sale,-16.99
09/04/2024,BA ELECTRONIC PAYMENT,,Sale,772.1
09/04/2024,AMAZON MARK* ZT1TP6PB2 SEATTLE WA,,Sale,-38.54
08/31/2024,AMAZON MARK* RK1JM8GK0 SEATTLE WA,,Sale,-10.66
08/26/2024,AMAZON MKTPL*R46HA2B90 Amzn.com/billWA,,Sale,-16.0
08/24/2024,TACO BELL 725391 ST GEORGE UT,,Sale,-12.89
