TransactionDate,Description,Category,Type,Amount
07/20/2024,SPIRIT AI 48704015324290 MIRAMAR FL,,Sale,-11.2
07/17/2024,BA ELECTRONIC PAYMENT,,Sale,818.28
07/15/2024,7-ELEVEN 16346 SANTA CRUZ CA,,Sale,-17.05
07/15/2024,FEDEX OFFIC51000051029 SANTA CRUZ CA,,Sale,-54.56
07/15/2024,TRADER JOE S #193 SANTA CRUZ CA,,Sale,-13.16
07/15/2024,SAFEWAY #2607 SANTA CRUZ CA,,Sale,-47.4
07/13/2024,OPENAI *CHATGPT SUBSCR SAN FRANCISCOCA,,Sale,-20.0
07/13/2024,HERNANDEZ MARKET #2 SANTA CRUZ CA,,Sale,-24.45
07/13/2024,7-ELEVEN 16346 SANTA CRUZ CA,,Sale,-4.95
07/12/2024,EMA HOUSE SANTA CLARA CA,,Sale,-60.02
07/10/2024,HERNANDEZ MARKET #2 SANTA CRUZ CA,,Sale,-9.72
07/08/2024,THE TOLL ROADS OF OC 949-727-4800 CA,,Sale,-4.0
07/08/2024,6405 Great Clips at Al BONNY DOON CA,,Sale,-30.0
07/08/2024,SAFEWAY #2607 SANTA CRUZ CA,,Sale,-17.29
07/06/2024,SAFEWAY #2607 SANTA CRUZ CA,,Sale,-47.38
07/04/2024,THE HALAL GUYS SANTA CLARA CA,,Sale,-15.27
07/03/2024,SAFEWAY #2607 SANTA CRUZ CA,,Sale,-34.62
07/01/2024,CLAUDE.AI SUBSCRIPTION SAN FRANCISCOCA,,Sale,-20.0
07/01/2024,AEROP DE PTO VALLARTA PUERTO VALLAR,,Sale,-16.44
07/01/2024,REST TAORMINA BAHIA DE BANDNA,,Sale,-63.81
06/27/2024,ALASKA A 0272374277568 SEATTLE WA,,Sale,-35.0
06/26/2024,BA ELECTRONIC PAYMENT,,Sale,3111.98
06/26/2024,HUDSON ST1413 CARSON CA,,Sale,-9.99
06/26/2024,ROTTEN ROBBIE #35 SANTA CRUZ CA,,Sale,-36.34
06/25/2024,CVS/PHARMACY #09332 SANTA CRUZ CA,,Sale,-23.88
06/25/2024,SANTA CRUZ LIVE SCAN SANTA CRUZ CA,,Sale,-63.0
06/24/2024,BOARDWALK - KIOSKS SANTA CRUZ CA,,Sale,-20.0
06/24/2024,BOARDWALK BW GRILLE SANTA CRUZ CA,,Sale,-7.35
06/24/2024,SQ *SANTA CRUZ BEACH B Santa Cruz CA,,Sale,-7.96
06/24/2024,SQ *SANTA CRUZ BEACH B Santa Cruz CA,,Sale,-8.74
06/24/2024,UNITED 01644118322733 UNITED.COM TX,,Sale,-35.0
06/24/2024,SQ *GREY BEARS Santa Cruz CA,,Sale,-25.62
06/24/2024,SAFEWAY #2607 SANTA CRUZ CA,,Sale,-34.6
06/24/2024,SAFEWAY #2607 SANTA CRUZ CA,,Sale,-10.68
