TransactionDate,Description,Category,Type,Amount
05/21/2024,SQ *DEVOUT COFFEE Fremont CA,,Sale,-14.7
05/20/2024,SAFEWAY #2607 SANTA CRUZ CA,,Sale,-66.14
05/17/2024,US PRO GAS SANTA CRUZ CA,,Sale,-42.36
05/16/2024,GEN - WESTAGTE SAN JOSE CA,,Sale,-52.9
05/15/2024,GONG CHA WESTGATE SAN JOSE CA,,Sale,-15.99
05/14/2024,BA ELECTRONIC PAYMENT,,Sale,2946.97
05/14/2024,TAPS PAYMASTER STN #26 SANTA CRUZ CA,,Sale,-6.45
05/14/2024,SALT LAKE EXPRESS REXBURG ID,,Sale,-49.34
05/14/2024,SAFEWAY #2607 SANTA CRUZ CA,,Sale,-17.05
05/13/2024,CHATGPT SUBSCRIPTION SAN FRANCISCOCA,,Sale,-20.0
05/13/2024,SUSHI MORI SANTA CRUZ CA,,Sale,-80.0
05/13/2024,SQ *GREY BEARS Santa Cruz CA,,Sale,-10.9
05/13/2024,7-ELEVEN 16346 SANTA CRUZ CA,,Sale,-10.06
05/13/2024,TST* THE BAGELRY - CED 831-429-8049 CA,,Sale,-7.66
05/13/2024,UNCLE TETSU #31003 SAN MATEO CA,,Sale,-15.0
05/13/2024,TST* PENNY ICE CREAMER Santa Cruz CA,,Sale,-12.25
05/13/2024,SQ *SANDBOX VR SAN MAT gosq.com CA,,Sale,-110.0
05/13/2024,7-ELEVEN 16346 SANTA CRUZ CA,,Sale,-6.56
05/11/2024,TAPS PAYMASTER STN #26 SANTA CRUZ CA,,Sale,-6.45
05/11/2024,SPIRIT AI 48703919877410 MIRAMAR FL,,Sale,-145.09
05/09/2024,TAPS PAYMASTER STN #26 SANTA CRUZ CA,,Sale,-6.45
05/09/2024,HERNANDEZ MARKET #2 SANTA CRUZ CA,,Sale,-7.14
05/09/2024,SQ *DOS HERMANOS PUPUS SANTA CRUZ CA,,Sale,-5.0
05/09/2024,SAFEWAY #2607 SANTA CRUZ CA,,Sale,-44.98
05/08/2024,TAPS PAYMASTER STN #26 SANTA CRUZ CA,,Sale,-6.45
05/08/2024,TACO BELL 30770 SOQUEL CA,,Sale,-14.16
05/08/2024,FASTRAK VIOLATION CENT SAN FRANCISCOCA,,Sale,-7.0
05/07/2024,PRECHECK 7138615959 NY,,Sale,-48.45
05/07/2024,SANTA CRUZ TOYOTA CAPITOLA CA,,Sale,-1249.45
05/07/2024,SUMMIT VENDING SYSTEM SANTA CRUZ CA,,Sale,-1.6
05/07/2024,NATIONAL BOARD OF MEDI 2155909700 PA,,Sale,-60.0
05/07/2024,ROSS STORE 418 SANTA CRUZ CA,,Sale,-117.96
05/07/2024,SAFEWAY #2607 SANTA CRUZ CA,,Sale,-32.4
05/07/2024,TST* ZACHARYS RESTAURA Santa Cruz CA,,Sale,-55.0
05/06/2024,CVS/PHARMACY #09332 SANTA CRUZ CA,,Sale,-69.59
05/06/2024,SANTA CRUZ GAS & SHOP SANTA CRUZ CA,,Sale,-46.36
05/06/2024,SPIRIT AI 48703912271060 MIRAMAR FL,,Sale,-190.09
05/03/2024,7-ELEVEN 16346 SANTA CRUZ CA,,Sale,-14.27
05/02/2024,HUDSON ST2045 LAS VEGAS NV,,Sale,-4.99
05/02/2024,SHAKE SHACK LAS LAS VEGAS NV,,Sale,-15.5
04/30/2024,SALT LAKE EXPRESS REXBURG ID,,Sale,-57.2
04/29/2024,ST GEORGE AIRPORT ST GEORGE UT,,Sale,-1.7
04/29/2024,MAVERIK #487 ST GEORGE UT,,Sale,-32.95
04/29/2024,MAVERIK #487 ST GEORGE UT,,Sale,-0.71
04/29/2024,GOLDEN CORRAL 2496 SAINT GEORGE UT,,Sale,-21.53
04/29/2024,TARGET 00013573 ST GEORGE UT,,Sale,-18.9
04/29/2024,TACOS BUEN PASTOR HENDERSON NV,,Sale,-17.0
04/29/2024,Madd Merch Lexington KY,,Sale,-48.77
04/29/2024,PILOT 775 ST GEORGE UT,,Sale,-7.4
04/29/2024,FESTIVAL F* SNW LOS ANGELES CA,,Sale,-23.44
04/25/2024,ASIAN MARKET ST GEORGE SAINT GEORGE UT,,Sale,-11.29
04/25/2024,HARMONS-SANTA CLARA SANTA CLARA UT,,Sale,-28.76
04/25/2024,AH'SYA ST GEORGE UT,,Sale,-70.0
04/24/2024,The Adobe Icebox Ivins UT,,Sale,-12.37
