Posted Date,Reference Number,Payee,Address,Amount
02/21/2024,55417344052870521815775,"DELTA 00622126210672 DELTA.COM CA","DELTA.COM     CA ",-126.20
02/21/2024,82305094052000004115705,"AMAZON RET* 113-746356 SEATTLE WA","SEATTLE       WA ",-194.27
02/21/2024,55432864051208634253262,"ABBOTT RAPID DX NA 321-441-7228 FL","321-441-7228  FL ",-354.43
02/21/2024,55417344051870515205422,"SPIRIT AI 48703820741410 MIRAMAR FL","MIRAMAR       FL ",-84.58
02/20/2024,05073400000847000085669,"BA ELECTRONIC PAYMENT","",565.39
02/20/2024,55417344051870512475309,"DELTA 00622128683890 DELTA.COM CA","DELTA.COM     CA ",-68.10
02/20/2024,12302024051000031371063,"Etsy.com*WdwrkrGifts BROOKLYN NY","BROOKLYN      NY ",-56.78
02/20/2024,52704874050838000167536,"TACO BELL 730740 SANTA CRUZ CA","SANTA CRUZ    CA ",-8.50
02/20/2024,55263524050837001453009,"SAFEWAY #2607 SANTA CRUZ CA","SANTA CRUZ    CA ",-50.80
02/20/2024,55432864050208260217145,"IN-N-OUT SAN JOSE 2 SAN JOSE CA","SAN JOSE      CA ",-11.54
02/19/2024,75369434049126000298137,"THE UPS STORE 3648 SAN JOSE CA","SAN JOSE      CA ",-11.92
02/19/2024,55417344049870493983508,"SPIRIT AI 48703818827170 MIRAMAR FL","MIRAMAR       FL ",-81.09
02/17/2024,05140484047730271847637,"RED MOUNTAIN MARKET IVINS UT","IVINS         UT ",-19.02
02/17/2024,05436844048500129217847,"FAMILY DOLLAR IVINS UT","IVINS         UT ",-17.67
02/16/2024,02305374047500225172833,"CRACKER BARREL #602 ST SAINT GEORGE UT","SAINT GEORGE  UT ",-7.17
02/16/2024,05140484046730267181950,"DIGBY'S MARKET ST. GEORGE UT","ST. GEORGE    UT ",-2.05
02/16/2024,05140484046730267179087,"DIGBY'S MARKET ST. GEORGE UT","ST. GEORGE    UT ",-62.95
02/16/2024,05436844047000291283116,"WALGREENS #7052 SAINT GEORGE UT","SAINT GEORGE  UT ",-13.42
02/14/2024,05140484044730258284112,"HARMONS-SANTA CLARA SANTA CLARA UT","SANTA CLARA   UT ",-17.51
02/14/2024,05140484044730258282983,"HARMONS-SANTA CLARA SANTA CLARA UT","SANTA CLARA   UT ",-14.00
02/14/2024,05436844045400058302582,"WM SUPERCENTER #1439 WASHINGTON UT","WASHINGTON    UT ",-104.25
02/13/2024,55429504043743691090072,"LYFT 1 RIDE 02-11 8558659553 CA","8558659553    CA ",-10.80
02/13/2024,55432864043206189046520,"A FRESH ATTRC CART LAS LAS VEGAS NV","LAS VEGAS     NV ",-3.24
02/12/2024,05140484042730253730517,"HARMONS-SANTA CLARA SANTA CLARA UT","SANTA CLARA   UT ",-10.68
02/12/2024,05140484042730253725285,"HARMONS-SANTA CLARA SANTA CLARA UT","SANTA CLARA   UT ",-6.60
02/12/2024,05140484042730253720906,"HARMONS-SANTA CLARA SANTA CLARA UT","SANTA CLARA   UT ",-42.81
02/12/2024,05436844043600012646824,"GOLDEN CORRAL 2496 SAINT GEORGE UT","SAINT GEORGE  UT ",-21.53
02/12/2024,55436874042170427724361,"JOY PARK FLY SAN JOSE CA","SAN JOSE      CA ",-71.51
02/12/2024,55263524041837001546317,"SAFEWAY #2607 SANTA CRUZ CA","SANTA CRUZ    CA ",-36.74
02/10/2024,02305374041000530738390,"CVS/PHARMACY #09331 SANTA CRUZ CA","SANTA CRUZ    CA ",-38.91
02/08/2024,55506294039839000213478,"US PRO GAS SANTA CRUZ CA","SANTA CRUZ    CA ",-38.24
02/06/2024,55506294036726470847518,"SALT LAKE EXPRESS REXBURG ID","REXBURG       ID ",-89.12
02/05/2024,03573400000847000021730,"BA ELECTRONIC PAYMENT","",100.00
01/31/2024,55506294031839000141768,"SANTA CRUZ GAS & SHOP SANTA CRUZ CA","SANTA CRUZ    CA ",-37.17
