Posted Date,Reference Number,Payee,Address,Amount
06/21/2024,05140484172740280281642,"HERNANDEZ MARKET #2 SANTA CRUZ CA","SANTA CRUZ    CA ",-13.56
06/21/2024,85189934172980000388776,"RESERVHOTEL N MIAMI BEACHFL","N MIAMI BEACH FL ",-100.00
06/21/2024,55263524172006252256122,"SAFEWAY #2607 SANTA CRUZ CA","SANTA CRUZ    CA ",-8.73
06/21/2024,55417344172871724103014,"AMERICAN 00170783434500 MIAMI FL","MIAMI         FL ",-840.38
06/21/2024,55417344172871724103006,"AMERICAN 00170783434496 MIAMI FL","MIAMI         FL ",-840.38
06/20/2024,55432864171203513160253,"TRAVEL INSURANCE 866-347-6673 IN","866-347-6673  IN ",-119.96
06/20/2024,52704874171004224155211,"TACO BELL 730787 REDWOOD CITY CA","REDWOOD CITY  CA ",-20.08
06/19/2024,55310204171004169947662,"PANDA EXPRESS #1860 SANTA CRUZ CA","SANTA CRUZ    CA ",-13.77
06/19/2024,55432864170203105715135,"IN-N-OUT SALINAS SALINAS CA","SALINAS       CA ",-16.44
06/18/2024,05140484169740279715142,"MCDONALD'S M2115 OF VAN NUYS CA","VAN NUYS      CA ",-3.82
06/17/2024,55263524168004518537639,"VONS #2370 SAN DIEGO CA","SAN DIEGO     CA ",-2.69
06/17/2024,52704874168003351829676,"RITE AID 05658 SAN DIEGO CA","SAN DIEGO     CA ",-16.27
06/17/2024,55263524167004039555772,"SAFEWAY #2607 SANTA CRUZ CA","SANTA CRUZ    CA ",-71.43
06/15/2024,22303794166002647037680,"7-ELEVEN 16346 SANTA CRUZ CA","SANTA CRUZ    CA ",-9.58
06/14/2024,05140484165740281069599,"HERNANDEZ MARKET #2 SANTA CRUZ CA","SANTA CRUZ    CA ",-21.00
06/14/2024,05140484165710001710988,"ROTTEN ROBBIE #39 SANTA CLARA CA","SANTA CLARA   CA ",-33.88
06/14/2024,52704874165970003549261,"HOLIDAY INN SAN JOSE SAN JOSE CA","SAN JOSE      CA ",-15.00
06/13/2024,82711164165000003498725,"OPENAI *CHATGPT SUBSCR SAN FRANCISCOCA","SAN FRANCISCO CA ",-20.00
06/13/2024,82711164165000001704413,"CAFFEIN (SANTA CLARA) CHICAGO IL","CHICAGO       IL ",-34.37
06/13/2024,55310204164083777182192,"AMAZON.COM*QT67N1XQ3 SEATTLE WA","SEATTLE       WA ",-21.23
06/12/2024,55500804164002703164360,"HAPPY LEMON - SJ COLEM SAN JOSE CA","SAN JOSE      CA ",-13.25
06/12/2024,05410194164091017140026,"TARGET 00020883 SAN JOSE CA","SAN JOSE      CA ",-55.67
06/12/2024,55429504163000430019928,"PRICELINE.COM 8007742354 CT","8007742354    CT ",-155.66
06/12/2024,55263524163002462180070,"SAFEWAY #2607 SANTA CRUZ CA","SANTA CRUZ    CA ",-75.63
06/11/2024,22303794162001849016470,"7-ELEVEN 16346 SANTA CRUZ CA","SANTA CRUZ    CA ",-18.06
06/10/2024,02305374162000499108620,"CVS/PHARMACY #09332 SANTA CRUZ CA","SANTA CRUZ    CA ",-8.41
06/10/2024,55500364161001839174051,"FRONTLINE FOOD SERVIC SANTA CRUZ CA","SANTA CRUZ    CA ",-2.25
06/10/2024,55263524160837001849591,"SAFEWAY #2607 SANTA CRUZ CA","SANTA CRUZ    CA ",-48.11
06/10/2024,55417344160871605334591,"SPIRIT AI 48703957211020 MIRAMAR FL","MIRAMAR       FL ",-66.36
06/08/2024,55506294159726050385732,"SALT LAKE EXPRESS REXBURG ID","REXBURG       ID ",-51.95
06/08/2024,05436844160000345674873,"STARBUCKS 11900 SAN JOSE CA","SAN JOSE      CA ",-5.75
06/08/2024,55417344159871595531514,"SPIRIT AI 48703955420650 MIRAMAR FL","MIRAMAR       FL ",-182.73
06/07/2024,55506294158726032580476,"SALT LAKE EXPRESS REXBURG ID","REXBURG       ID ",-49.34
06/07/2024,52704874158968855466690,"COMMONS EAST CAFE QPS SANTA CLARA CA","SANTA CLARA   CA ",-19.64
06/06/2024,05140484157740277056626,"HERNANDEZ MARKET #2 SANTA CRUZ CA","SANTA CRUZ    CA ",-9.22
06/06/2024,55432864158209206683540,"CARDKINGDOM.COM 206-523-2273 WA","206-523-2273  WA ",-15.11
06/05/2024,55506294157839000070718,"US PRO GAS SANTA CRUZ CA","SANTA CRUZ    CA ",-35.96
06/03/2024,55263524153837001049340,"SAFEWAY #2607 SANTA CRUZ CA","SANTA CRUZ    CA ",-29.30
06/01/2024,82305094152000024325515,"CLAUDE.AI SUBSCRIPTION SAN FRANCISCOCA","SAN FRANCISCO CA ",-20.00
05/31/2024,15173400000847000076906,"BA ELECTRONIC PAYMENT","",696.72
05/30/2024,55480774151400868000342,"EL HERMOSO MAR SANTA CRUZ CA","SANTA CRUZ    CA ",-10.65
05/30/2024,55310204150970597564102,"THE HALAL GUYS SANTA CLARA CA","SANTA CLARA   CA ",-16.36
05/28/2024,22303794148005078422399,"7-ELEVEN 16346 SANTA CRUZ CA","SANTA CRUZ    CA ",-18.55
05/28/2024,55432864148206068800249,"IN-N-OUT SANTA CLARA SANTA CLARA CA","SANTA CLARA   CA ",-18.44
05/27/2024,52708284146091932000805,"BURGER KING #4447 Q07 SANTA CRUZ CA","SANTA CRUZ    CA ",-11.67
05/27/2024,55263524146837001404404,"SAFEWAY #2607 SANTA CRUZ CA","SANTA CRUZ    CA ",-43.50
05/27/2024,55263524146837001419238,"SAFEWAY #2607 SANTA CRUZ CA","SANTA CRUZ    CA ",-7.02
05/25/2024,75181174145900014300134,"EMA KARAOKE AND BAR SANTA CLARA CA","SANTA CLARA   CA ",-10.30
05/25/2024,75181174145900014300100,"EMA KARAOKE AND BAR SANTA CLARA CA","SANTA CLARA   CA ",-28.33
05/24/2024,55432864144204963900457,"MASABI_SCMETRO 831-425-8600 CA","831-425-8600  CA ",-3.50
05/24/2024,22303794144004302492504,"7-ELEVEN 16346 SANTA CRUZ CA","SANTA CRUZ    CA ",-18.05
