Posted Date,Reference Number,Payee,Address,Amount
10/22/2024,55432864296201312313206,"AMAZON MKTPLACE PMTS Amzn.com/billWA","Amzn.com/bill WA ",59.77
10/21/2024,52704874294077037938827,"TACO BELL 725391 ST GEORGE UT","ST GEORGE     UT ",-10.21
10/21/2024,29473400000847000026388,"BA ELECTRONIC PAYMENT","",4.75
10/16/2024,28973400000847000041376,"BA ELECTRONIC PAYMENT","",274.70
10/16/2024,55432864289209200464998,"AMAZON MKTPL*X44Z29YV3 Amzn.com/billWA","Amzn.com/bill WA ",-37.29
10/14/2024,82711164287000002948640,"OPENAI *CHATGPT SUBSCR SAN FRANCISCOCA","SAN FRANCISCO CA ",-20.00
10/10/2024,82305094283000032058142,"AMAZON RETA* NE9D39R83 SEATTLE WA","SEATTLE       WA ",-26.87
10/10/2024,55432864283207143770790,"AMAZON MKTPL*IP18036L3 Amzn.com/billWA","Amzn.com/bill WA ",-59.77
10/09/2024,55432864282206844308554,"AMZN Mktp US*X614W7LB3 Amzn.com/billWA","Amzn.com/bill WA ",-12.01
09/27/2024,82305094270000041511748,"AMAZON MARK* ZJ4685WY3 SEATTLE WA","SEATTLE       WA ",-10.66
09/25/2024,55432864268202131788028,"AMZN Mktp US*2V5LV89U3 Amzn.com/billWA","Amzn.com/bill WA ",-140.64
