TransactionDate,Description,Category,Type,Amount
02/21/2024,DELTA 00622126210672 DELTA.COM CA,,Sale,-126.2
02/21/2024,AMAZON RET* 113-746356 SEATTLE WA,,Sale,-194.27
02/21/2024,ABBOTT RAPID DX NA 321-441-7228 FL,,Sale,-354.43
02/21/2024,SPIRIT AI 48703820741410 MIRAMAR FL,,Sale,-84.58
02/20/2024,BA ELECTRONIC PAYMENT,,Sale,565.39
02/20/2024,DELTA 00622128683890 DELTA.COM CA,,Sale,-68.1
02/20/2024,Etsy.com*WdwrkrGifts BROOKLYN NY,,Sale,-56.78
02/20/2024,TACO BELL 730740 SANTA CRUZ CA,,Sale,-8.5
02/20/2024,SAFEWAY #2607 SANTA CRUZ CA,,Sale,-50.8
02/20/2024,IN-N-OUT SAN JOSE 2 SAN JOSE CA,,Sale,-11.54
02/19/2024,THE UPS STORE 3648 SAN JOSE CA,,Sale,-11.92
02/19/2024,SPIRIT AI 48703818827170 MIRAMAR FL,,Sale,-81.09
02/17/2024,RED MOUNTAIN MARKET IVINS UT,,Sale,-19.02
02/17/2024,FAMILY DOLLAR IVINS UT,,Sale,-17.67
02/16/2024,CRACKER BARREL #602 ST SAINT GEORGE UT,,Sale,-7.17
02/16/2024,DIGBY'S MARKET ST. GEORGE UT,,Sale,-2.05
02/16/2024,DIGBY'S MARKET ST. GEORGE UT,,Sale,-62.95
02/16/2024,WALGREENS #7052 SAINT GEORGE UT,,Sale,-13.42
02/14/2024,HARMONS-SANTA CLARA SANTA CLARA UT,,Sale,-17.51
02/14/2024,HARMONS-SANTA CLARA SANTA CLARA UT,,Sale,-14.0
02/14/2024,WM SUPERCENTER #1439 WASHINGTON UT,,Sale,-104.25
02/13/2024,LYFT 1 RIDE 02-11 8558659553 CA,,Sale,-10.8
02/13/2024,A FRESH ATTRC CART LAS LAS VEGAS NV,,Sale,-3.24
02/12/2024,HARMONS-SANTA CLARA SANTA CLARA UT,,Sale,-10.68
02/12/2024,HARMONS-SANTA CLARA SANTA CLARA UT,,Sale,-6.6
02/12/2024,HARMONS-SANTA CLARA SANTA CLARA UT,,Sale,-42.81
02/12/2024,GOLDEN CORRAL 2496 SAINT GEORGE UT,,Sale,-21.53
02/12/2024,JOY PARK FLY SAN JOSE CA,,Sale,-71.51
02/12/2024,SAFEWAY #2607 SANTA CRUZ CA,,Sale,-36.74
02/10/2024,CVS/PHARMACY #09331 SANTA CRUZ CA,,Sale,-38.91
02/08/2024,US PRO GAS SANTA CRUZ CA,,Sale,-38.24
02/06/2024,SALT LAKE EXPRESS REXBURG ID,,Sale,-89.12
02/05/2024,BA ELECTRONIC PAYMENT,,Sale,100.0
01/31/2024,SANTA CRUZ GAS & SHOP SANTA CRUZ CA,,Sale,-37.17
