TransactionDate,Description,Category,Type,Amount
03/21/2024,US PRO GAS SANTA CRUZ CA,,Sale,-34.68
03/19/2024,TACO BELL 30754 PACIFICA CA,,Sale,-8.11
03/18/2024,HERNANDEZ MARKET #2 SANTA CRUZ CA,,Sale,-19.79
03/18/2024,SAFEWAY #2607 SANTA CRUZ CA,,Sale,-27.64
03/18/2024,LAX UNIVISION LOS ANGELES CA,,Sale,-4.2
03/18/2024,ST. GEORGE SHUTTLE ST GEORGE UT,,Sale,-47.9
03/18/2024,PAR*YOSHINOYA - 1234 GARDENA CA,,Sale,-10.9
03/16/2024,BA ELECTRONIC PAYMENT,,Sale,287.22
03/16/2024,THE HOME DEPOT #1858 COMPTON CA,,Sale,-9.89
03/15/2024,REMAINDERS CREATIVE RE PASADENA CA,,Sale,-19.82
03/15/2024,LYFT 1 RIDE 03-13 8558659553 CA,,Sale,-12.76
03/15/2024,CHICK-FIL-A TERM B SJC SAN JOSE CA,,Sale,-14.02
03/14/2024,LYFT 2 RIDES 03-12 8558659553 CA,,Sale,-62.82
03/13/2024,WEBOX _ SANTA CLARA CA,,Sale,-0.9
03/12/2024,CVS/PHARMACY #09495 COMPTON CA,,Sale,-7.31
03/12/2024,TARGET 00022756 COMPTON CA,,Sale,-50.67
03/11/2024,LYFT RIDE SAT 1AM 8558659553 CA,,Sale,-40.97
03/11/2024,JOY PARK FLY SAN JOSE CA,,Sale,-63.82
03/09/2024,CVS/PHARMACY #09332 SANTA CRUZ CA,,Sale,-14.13
03/04/2024,BA ELECTRONIC PAYMENT,,Sale,20.31
02/28/2024,SANTA CRUZ GAS & SHOP SANTA CRUZ CA,,Sale,-36.4
02/27/2024,7-ELEVEN 16346 SANTA CRUZ CA,,Sale,-7.98
02/26/2024,NEW ACCT STMT CREDIT,,Sale,100.0
02/26/2024,MCDONALD'S F778 SANTA CRUZ CA,,Sale,-2.4
02/24/2024,BA ELECTRONIC PAYMENT,,Sale,1048.21
02/24/2024,SANTA CRUZ GROCERY O SANTA CRUZ CA,,Sale,-45.24
02/24/2024,76 - SEI 38007 SANTA CRUZ CA,,Sale,-14.78
02/24/2024,COMMONS EAST CAFE QPS SANTA CLARA CA,,Sale,-13.51
