Transaction Date,Description,Category,Type,Amount
11/16/2024,CARLS JR 1101940 ONLINE,Food & Drink,Sale,-10.22
11/16/2024,PAYPAL *STEAM GAMES,Entertainment,Sale,-8.97
11/15/2024,SQ *PAWS THRIFT STORE,Groceries,Sale,-5.25
11/15/2024,DIGBY'S MARKET,Groceries,Sale,-64.41
11/15/2024,COSTCO WHSE #0672,Shopping,Sale,-138.39
11/15/2024,COSTCO WHSE #0672,Shopping,Sale,-5.9
11/13/2024,CHICK-FIL-A #03006,Food & Drink,Sale,-5.81
11/13/2024,Amazon.com*H27384ZA3,Shopping,Sale,-53.84
11/12/2024,RED MOUNTAIN MARKET,Groceries,Sale,-14.49
11/11/2024,PAYPAL *WINGSTOP 2205,Food & Drink,Sale,-18.99
11/10/2024,AMAZON MKTPL*Z42SJ4T93,Shopping,Sale,-71.02
11/9/2024,ALBERTSONS #1329,Groceries,Sale,-10.91
11/10/2024,Amazon.com*4T7DN4MY3,Shopping,Sale,-12.7
11/10/2024,McDonalds 20759,Food & Drink,Sale,-13.66
11/9/2024,Amazon Prime*F54H60KB3,Bills & Utilities,Sale,-16.45
11/8/2024,COSTCO WHSE #0672,Shopping,Sale,-107.04
11/8/2024,DIGBY'S MARKET,Groceries,Sale,-18.24
11/8/2024,COSTCO WHSE #0672,Shopping,Sale,-4.29
11/8/2024,DIGBY'S MARKET,Groceries,Sale,-15.78
11/8/2024,BEST BUY      00008912,Shopping,Sale,-76.39
11/7/2024,ICE CREAM FACTORY,Food & Drink,Sale,-1.9
11/6/2024,PERFORMANCE FITNESS - 2 -,Health & Wellness,Sale,-32.01
11/2/2024,ST. GEORGE SHUTTLE,Travel,Sale,-47.9
11/3/2024,DIGBY'S MARKET,Groceries,Sale,-4.12
11/3/2024,COSTCO WHSE #0672,Shopping,Sale,-6.97
11/2/2024,CHICK-FIL-A #03006,Food & Drink,Sale,-15.81
11/1/2024,KFC/AW #526,Food & Drink,Sale,-16.45
11/1/2024,DIGBY'S MARKET,Groceries,Sale,-50.92
11/2/2024,Amazon web services,Personal,Sale,-17.59
10/31/2024,CHICK-FIL-A #03006,Food & Drink,Sale,-15.97
10/31/2024,Subway 30708,Food & Drink,Sale,-14
10/30/2024,SPEEDWAY 09418 1925 W SUN,Gas,Sale,-2.77
10/30/2024,Payment Thank You-Mobile,,Payment,669.74
10/30/2024,ALFREDOSSANTACLARA.COM,Food & Drink,Sale,-9.73
10/27/2024,McDonalds 20759,Food & Drink,Sale,-7.63
10/27/2024,McDonalds 20759,Food & Drink,Sale,-6.01
10/25/2024,COSTCO WHSE #0672,Shopping,Sale,-10.19
10/26/2024,DIGBY'S MARKET,Groceries,Sale,-48.11
10/24/2024,ST. GEORGE SHUTTLE,Travel,Sale,-47.9
10/24/2024,CLAUDE.AI SUBSCRIPTION,Shopping,Sale,-21.35
10/24/2024,APPLE.COM/BILL,Shopping,Sale,-2.99
10/24/2024,AIRBNB * HMQAFPDYRB,Travel,Sale,-180.2
10/21/2024,CHICK-FIL-A #04568,Food & Drink,Sale,-12.48
10/22/2024,HARMONS-SANTA CLARA,Groceries,Sale,-12.79
10/22/2024,HARMONS-SANTA CLARA,Groceries,Sale,-4.11
10/22/2024,AMAZON MKTPL*5J8VJ5SK3,Shopping,Sale,-38.28
10/22/2024,McDonalds 20759,Food & Drink,Sale,-12.8
10/21/2024,FIESTA FUN CENTER WEB,Entertainment,Sale,-70.29
10/19/2024,MEGAPLEX AT PINEVIEW,Entertainment,Sale,-35.22
10/18/2024,FAMILY DOLLAR,Shopping,Sale,-5.61
10/19/2024,HARMONS-SANTA CLARA,Groceries,Sale,-12.51
10/18/2024,DIGBY'S MARKET,Groceries,Sale,-14.47
10/18/2024,COSTCO WHSE #0672,Shopping,Sale,-88.06
10/18/2024,IN-N-OUTWASHINGTONCITY,Food & Drink,Sale,-17.4
10/17/2024,O'REILLY 6212,Automotive,Sale,-5.33
10/17/2024,CHEVRON 0385252,Gas,Sale,-5.17
10/14/2024,Payment Thank You - Web,,Payment,525.57
10/12/2024,McDonalds 26091,Food & Drink,Sale,-10.84
