Transaction Date,Post Date,Description,Category,Type,Amount,Memo
12/25/2025,12/26/2025,CVS/PHARMACY #03942,Health & Wellness,Sale,-3.09,
12/24/2025,12/25/2025,SO CALIFORNIA EDISON,Bills & Utilities,Sale,-128.27,
12/23/2025,12/25/2025,CHICK-FIL-A #04568,Food & Drink,Sale,-6.87,
12/24/2025,12/25/2025,APPLE.COM/BILL,Shopping,Sale,-2.99,
12/23/2025,12/25/2025,MAVERIK #00585 SAINT G,Gas,Sale,-5.67,
12/24/2025,12/25/2025,EXXON I 15 TRAVEL STOP,Gas,Sale,-18.96,
12/24/2025,12/25/2025,McDonalds 26091,Food & Drink,Sale,-5.19,
12/23/2025,12/24/2025,CHEVRON 0385252,Gas,Sale,-17.18,
12/22/2025,12/24/2025,SPO*NETOSBAKERYPANADERIA,Food & Drink,Sale,-3.80,
12/23/2025,12/24/2025,CHEVRON 0385252,Gas,Sale,-5.86,
12/23/2025,12/24/2025,MCDONALD'S F26091,Food & Drink,Sale,-2.16,
12/23/2025,12/23/2025,AMAZON MKTPL*DV0JI79M3,Shopping,Sale,-30.70,
12/22/2025,12/23/2025,McDonalds 20759,Food & Drink,Sale,-10.74,
12/22/2025,12/23/2025,TARGET        00013573,Shopping,Sale,-27.72,
12/22/2025,12/23/2025,PETSMART # 2084,Shopping,Sale,-27.30,
12/22/2025,12/23/2025,BURGER KING #10527,Food & Drink,Sale,-8.61,
12/19/2025,12/21/2025,TACO BELL 025385,Food & Drink,Sale,-4.45,
12/19/2025,12/21/2025,THE PIZZA FACTORY,Food & Drink,Sale,-26.52,
12/19/2025,12/21/2025,SQ *PALETAS,Food & Drink,Sale,-20.04,
12/17/2025,12/19/2025,CHICK-FIL-A #04568,Food & Drink,Sale,-11.88,
12/17/2025,12/17/2025,Payment Thank You-Mobile,,Payment,121.18,
12/16/2025,12/17/2025,PETSMART # 2084,Shopping,Sale,-42.68,
12/15/2025,12/16/2025,UEP*SUMO SHABU SHABU &amp; KO,Food & Drink,Sale,-61.64,
12/15/2025,12/16/2025,K BAR UT,Food & Drink,Sale,-16.46,
12/15/2025,12/16/2025,PAYPAL *WALMART COM WALMA,Groceries,Return,10.65,
12/14/2025,12/15/2025,AMAZON MKTPL*G26VW1CK3,Shopping,Sale,-181.35,
12/14/2025,12/15/2025,PAYPAL *WALMART COM WALMA,Groceries,Sale,-57.80,
12/15/2025,12/15/2025,PAYPAL *MCDONALDS 10803,Food & Drink,Sale,-4.73,
12/13/2025,12/15/2025,TACO BELL 725391,Food & Drink,Sale,-14.71,
12/13/2025,12/14/2025,PAYPAL *UBER EATS,Food & Drink,Sale,-18.57,
12/13/2025,12/14/2025,PAYPAL *WALMART COM WALMA,Groceries,Return,1.89,
12/14/2025,12/14/2025,PAYPAL *UBER EATS,Food & Drink,Sale,-3.00,
12/13/2025,12/14/2025,1 Month Member Subscripti,Entertainment,Sale,-13.99,
12/13/2025,12/14/2025,PAYPAL *WALMART COM WALMA,Groceries,Return,3.21,
12/12/2025,12/14/2025,LYFT   *1 RIDE 12-11,Travel,Sale,-16.97,
12/13/2025,12/14/2025,PAYPAL *WALMART COM WALMA,Groceries,Return,0.02,
12/12/2025,12/12/2025,PAYPAL *UBER EATS,Food & Drink,Sale,-3.00,
12/11/2025,12/12/2025,MAVERIK #521,Gas,Sale,-5.67,
12/11/2025,12/12/2025,LYFT   *1 RIDE 12-10,Travel,Sale,-27.93,
12/12/2025,12/12/2025,PAYPAL *UBER EATS,Food & Drink,Sale,-13.14,
12/11/2025,12/11/2025,PAYPAL *UBER EATS,Food & Drink,Return,15.34,
12/11/2025,12/11/2025,PAYPAL *UBER EATS,Food & Drink,Sale,-3.74,
12/11/2025,12/11/2025,PAYPAL *UBER EATS,Food & Drink,Sale,-15.34,
12/10/2025,12/11/2025,PAYPAL *STEAM GAMES,Entertainment,Sale,-5.00,
12/10/2025,12/11/2025,CLAUDE.AI SUBSCRIPTION,Shopping,Sale,-21.35,
12/09/2025,12/10/2025,MAVERIK #521,Gas,Sale,-11.33,
12/09/2025,12/09/2025,PAYPAL *MCDONALDS 10803,Food & Drink,Sale,-5.16,
12/08/2025,12/09/2025,CHEVRON 0385252,Gas,Sale,-6.05,
12/07/2025,12/08/2025,PAYPAL *WALMART COM WALMA,Groceries,Sale,-52.72,
12/08/2025,12/08/2025,PP*DOORDASH ALFREDOSA,Food & Drink,Sale,-15.71,
12/07/2025,12/07/2025,Payment Thank You-Mobile,,Payment,169.57,
12/07/2025,12/07/2025,STATEMENT CREDIT,Fees & Adjustments,Adjustment,460.02,
12/07/2025,12/07/2025,PAYPAL *MCDONALDS 10803,Food & Drink,Sale,-7.84,
12/06/2025,12/07/2025,PAYPAL *WALMART COM WALMA,Groceries,Return,4.36,
12/06/2025,12/07/2025,PERFORMANCE FITNESS ST GE,Health & Wellness,Sale,-37.35,
12/06/2025,12/07/2025,PAYPAL *WALMART COM WALMA,Groceries,Return,3.88,
12/04/2025,12/04/2025,The Icebox Grill,Food & Drink,Sale,-13.62,
12/02/2025,12/03/2025,GRUBHUB*SONIC,Food & Drink,Sale,-17.51,
11/25/2025,12/01/2025,REBILL-BEENVERIFIED INC.,Professional Services,Adjustment,-32.89,
11/30/2025,12/01/2025,FS *SUPERCELLSTORE,Shopping,Sale,-1.99,
11/30/2025,12/01/2025,PP*DOORDASH PANDAEXPR,Food & Drink,Sale,-20.13,
11/30/2025,12/01/2025,CHEVRON 0385252,Gas,Sale,-5.77,
11/25/2025,11/30/2025,BEENVERIFIED INC.,Professional Services,Adjustment,32.89,
11/29/2025,11/30/2025,RED MOUNTAIN MARKET,Groceries,Sale,-16.52,
11/30/2025,11/30/2025,OPENAI *CHATGPT SUBSCR,Shopping,Sale,-21.35,
11/29/2025,11/30/2025,PAYPAL *WALMART COM WALMA,Groceries,Return,3.41,
11/29/2025,11/30/2025,BEENVERIFIED INC.,Professional Services,Return,32.89,
11/28/2025,11/30/2025,BURGER KING #10527,Food & Drink,Sale,-4.72,
11/29/2025,11/30/2025,PAYPAL *WALMART COM WALMA,Groceries,Sale,-77.13,
11/29/2025,11/30/2025,PAYPAL *WALMART COM WALMA,Groceries,Sale,-8.24,
11/29/2025,11/30/2025,PAYPAL *WALMART COM WALMA,Groceries,Return,1.09,
11/28/2025,11/28/2025,Payment Thank You-Mobile,,Payment,1076.79,
11/28/2025,11/28/2025,PAYPAL *WALMART COM WALMA,Groceries,Return,4.83,
11/27/2025,11/28/2025,CHEVRON 0385252,Gas,Sale,-6.20,
11/28/2025,11/28/2025,PP*DOORDASH CARLSJR.,Food & Drink,Sale,-18.61,
11/25/2025,11/26/2025,Amazon.com*B21445BM1,Shopping,Sale,-23.10,
11/25/2025,11/26/2025,BEENVERIFIED INC.,Professional Services,Sale,-32.89,
11/24/2025,11/25/2025,AMAZON MKTPL*B204M8ZC0,Shopping,Sale,-49.28,
11/24/2025,11/25/2025,APPLE.COM/BILL,Shopping,Sale,-2.99,
11/23/2025,11/24/2025,AMAZON MKTPLACE PMTS,Shopping,Return,38.13,
11/23/2025,11/24/2025,AMAZON MKTPLACE PMTS,Shopping,Return,24.63,
11/21/2025,11/23/2025,BURGER KING #10527,Food & Drink,Sale,-7.53,
11/21/2025,11/23/2025,PAYPAL *WALMART COM WALMA,Groceries,Sale,-4.28,
11/21/2025,11/23/2025,BURGER KING #10527,Food & Drink,Sale,-10.76,
11/21/2025,11/23/2025,PAYPAL *WALMART COM WALMA,Groceries,Sale,-3.53,
11/22/2025,11/23/2025,PAYPAL *WALMART COM WALMA,Groceries,Sale,-5.36,
11/21/2025,11/23/2025,PAYPAL *WALMART COM WALMA,Groceries,Sale,-65.69,
11/21/2025,11/21/2025,PAYPAL *WALMART COM WALMA,Groceries,Return,1.22,
11/21/2025,11/21/2025,PAYPAL *WALMART COM WALMA,Groceries,Return,0.01,
11/19/2025,11/20/2025,CHEVRON 0385252,Gas,Sale,-5.64,
11/19/2025,11/20/2025,CHEVRON 0385252,Gas,Sale,-5.86,
11/17/2025,11/18/2025,SQ *WESTSIDE MOBILE MECHA,Automotive,Sale,-611.82,
11/17/2025,11/18/2025,PAYPAL *MCDONALDS 10803,Food & Drink,Sale,-7.84,
11/15/2025,11/16/2025,BURGER KING #10527,Food & Drink,Sale,-15.92,
11/15/2025,11/16/2025,PAYPAL *WALMART COM WALMA,Groceries,Sale,-17.23,
11/15/2025,11/16/2025,AMAZON MKTPL*B88TI40I2,Shopping,Sale,-24.63,
11/15/2025,11/16/2025,PAYPAL *STEAM GAMES,Entertainment,Sale,-25.00,
11/15/2025,11/16/2025,PAYPAL *WALMART COM WALMA,Groceries,Sale,-96.93,
11/15/2025,11/16/2025,PAYPAL *WALMART COM WALMA,Groceries,Return,10.93,
