Posted Date,Reference Number,Payee,Address,Amount
07/20/2024,55417344201872015793419,"SPIRIT AI 48704015324290 MIRAMAR FL","MIRAMAR       FL ",-11.20
07/17/2024,19873400000847000014985,"BA ELECTRONIC PAYMENT","",818.28
07/15/2024,22303794196002632433807,"7-ELEVEN 16346 SANTA CRUZ CA","SANTA CRUZ    CA ",-17.05
07/15/2024,05410194196069222728407,"FEDEX OFFIC51000051029 SANTA CRUZ CA","SANTA CRUZ    CA ",-54.56
07/15/2024,02305374196500337144240,"TRADER JOE S #193 SANTA CRUZ CA","SANTA CRUZ    CA ",-13.16
07/15/2024,55263524195027764975044,"SAFEWAY #2607 SANTA CRUZ CA","SANTA CRUZ    CA ",-47.40
07/13/2024,82711164195000003681217,"OPENAI *CHATGPT SUBSCR SAN FRANCISCOCA","SAN FRANCISCO CA ",-20.00
07/13/2024,05140484194740286510998,"HERNANDEZ MARKET #2 SANTA CRUZ CA","SANTA CRUZ    CA ",-24.45
07/13/2024,22303794194002175052099,"7-ELEVEN 16346 SANTA CRUZ CA","SANTA CRUZ    CA ",-4.95
07/12/2024,85197014193980005328898,"EMA HOUSE SANTA CLARA CA","SANTA CLARA   CA ",-60.02
07/10/2024,05140484191740275217236,"HERNANDEZ MARKET #2 SANTA CRUZ CA","SANTA CRUZ    CA ",-9.72
07/08/2024,55432864189209327728078,"THE TOLL ROADS OF OC 949-727-4800 CA","949-727-4800  CA ",-4.00
07/08/2024,25247804189001190012217,"6405 Great Clips at Al BONNY DOON CA","BONNY DOON    CA ",-30.00
07/08/2024,55263524188021214572443,"SAFEWAY #2607 SANTA CRUZ CA","SANTA CRUZ    CA ",-17.29
07/06/2024,55263524187020247134016,"SAFEWAY #2607 SANTA CRUZ CA","SANTA CRUZ    CA ",-47.38
07/04/2024,55310204185011836145913,"THE HALAL GUYS SANTA CLARA CA","SANTA CLARA   CA ",-15.27
07/03/2024,55263524184017404568583,"SAFEWAY #2607 SANTA CRUZ CA","SANTA CRUZ    CA ",-34.62
07/01/2024,82305094182000024560693,"CLAUDE.AI SUBSCRIPTION SAN FRANCISCOCA","SAN FRANCISCO CA ",-20.00
07/01/2024,52309774181477540295821,"AEROP DE PTO VALLARTA PUERTO VALLAR","",-16.44
07/01/2024,75414054181944991693697,"REST TAORMINA BAHIA DE BANDNA","BAHIA DE BAND NA ",-63.81
06/27/2024,55310204178007765136054,"ALASKA A 0272374277568 SEATTLE WA","SEATTLE       WA ",-35.00
06/26/2024,17773400000847000030903,"BA ELECTRONIC PAYMENT","",3111.98
06/26/2024,55310204178007540160544,"HUDSON ST1413 CARSON CA","CARSON        CA ",-9.99
06/26/2024,05140484177710001653440,"ROTTEN ROBBIE #35 SANTA CRUZ CA","SANTA CRUZ    CA ",-36.34
06/25/2024,02305374177000544551264,"CVS/PHARMACY #09332 SANTA CRUZ CA","SANTA CRUZ    CA ",-23.88
06/25/2024,55432864177205158073562,"SANTA CRUZ LIVE SCAN SANTA CRUZ CA","SANTA CRUZ    CA ",-63.00
06/24/2024,05314614176500205629509,"BOARDWALK - KIOSKS SANTA CRUZ CA","SANTA CRUZ    CA ",-20.00
06/24/2024,55417344175261757016209,"BOARDWALK BW GRILLE SANTA CRUZ CA","SANTA CRUZ    CA ",-7.35
06/24/2024,55432864175204784322263,"SQ *SANTA CRUZ BEACH B Santa Cruz CA","Santa Cruz    CA ",-7.96
06/24/2024,55432864175204788046843,"SQ *SANTA CRUZ BEACH B Santa Cruz CA","Santa Cruz    CA ",-8.74
06/24/2024,55432864175204707015275,"UNITED 01644118322733 UNITED.COM TX","UNITED.COM    TX ",-35.00
06/24/2024,55432864174204478784837,"SQ *GREY BEARS Santa Cruz CA","Santa Cruz    CA ",-25.62
06/24/2024,55263524174007798225363,"SAFEWAY #2607 SANTA CRUZ CA","SANTA CRUZ    CA ",-34.60
06/24/2024,55263524174007798225355,"SAFEWAY #2607 SANTA CRUZ CA","SANTA CRUZ    CA ",-10.68
