Posted Date,Reference Number,Payee,Address,Amount
05/21/2024,55432864141204009459099,"SQ *DEVOUT COFFEE Fremont CA","Fremont       CA ",-14.70
05/20/2024,55263524140837000835281,"SAFEWAY #2607 SANTA CRUZ CA","SANTA CRUZ    CA ",-66.14
05/17/2024,55506294138839000640548,"US PRO GAS SANTA CRUZ CA","SANTA CRUZ    CA ",-42.36
05/16/2024,72654294136900014838499,"GEN - WESTAGTE SAN JOSE CA","SAN JOSE      CA ",-52.90
05/15/2024,82305094135000023255632,"GONG CHA WESTGATE SAN JOSE CA","SAN JOSE      CA ",-15.99
05/14/2024,13473400000847000044278,"BA ELECTRONIC PAYMENT","",2946.97
05/14/2024,55178424135400509490381,"TAPS PAYMASTER STN #26 SANTA CRUZ CA","SANTA CRUZ    CA ",-6.45
05/14/2024,55506294134726897756947,"SALT LAKE EXPRESS REXBURG ID","REXBURG       ID ",-49.34
05/14/2024,55263524134837001924413,"SAFEWAY #2607 SANTA CRUZ CA","SANTA CRUZ    CA ",-17.05
05/13/2024,82711164134000003200574,"CHATGPT SUBSCRIPTION SAN FRANCISCOCA","SAN FRANCISCO CA ",-20.00
05/13/2024,55436874134131341819280,"SUSHI MORI SANTA CRUZ CA","SANTA CRUZ    CA ",-80.00
05/13/2024,55432864133201507686256,"SQ *GREY BEARS Santa Cruz CA","Santa Cruz    CA ",-10.90
05/13/2024,22303794133002193069913,"7-ELEVEN 16346 SANTA CRUZ CA","SANTA CRUZ    CA ",-10.06
05/13/2024,55432864133201381515662,"TST* THE BAGELRY - CED 831-429-8049 CA","831-429-8049  CA ",-7.66
05/13/2024,55310204133838007798036,"UNCLE TETSU #31003 SAN MATEO CA","SAN MATEO     CA ",-15.00
05/13/2024,55432864133201288820280,"TST* PENNY ICE CREAMER Santa Cruz CA","Santa Cruz    CA ",-12.25
05/13/2024,55432864132201168347603,"SQ *SANDBOX VR SAN MAT gosq.com CA","gosq.com      CA ",-110.00
05/13/2024,22303794132002007058483,"7-ELEVEN 16346 SANTA CRUZ CA","SANTA CRUZ    CA ",-6.56
05/11/2024,55178424132400492768895,"TAPS PAYMASTER STN #26 SANTA CRUZ CA","SANTA CRUZ    CA ",-6.45
05/11/2024,55417344131871315740505,"SPIRIT AI 48703919877410 MIRAMAR FL","MIRAMAR       FL ",-145.09
05/09/2024,55178424130400479265925,"TAPS PAYMASTER STN #26 SANTA CRUZ CA","SANTA CRUZ    CA ",-6.45
05/09/2024,05140484129740280956833,"HERNANDEZ MARKET #2 SANTA CRUZ CA","SANTA CRUZ    CA ",-7.14
05/09/2024,55432864129200206999941,"SQ *DOS HERMANOS PUPUS SANTA CRUZ CA","SANTA CRUZ    CA ",-5.00
05/09/2024,55263524129837002234579,"SAFEWAY #2607 SANTA CRUZ CA","SANTA CRUZ    CA ",-44.98
05/08/2024,55178424129400473326163,"TAPS PAYMASTER STN #26 SANTA CRUZ CA","SANTA CRUZ    CA ",-6.45
05/08/2024,52704874128838004799589,"TACO BELL 30770 SOQUEL CA","SOQUEL        CA ",-14.16
05/08/2024,55310204128081136271966,"FASTRAK VIOLATION CENT SAN FRANCISCOCA","SAN FRANCISCO CA ",-7.00
05/07/2024,52653844128744089739181,"PRECHECK 7138615959 NY","7138615959    NY ",-48.45
05/07/2024,55500804127200004006373,"SANTA CRUZ TOYOTA CAPITOLA CA","CAPITOLA      CA ",-1249.45
05/07/2024,55500364128400290000981,"SUMMIT VENDING SYSTEM SANTA CRUZ CA","SANTA CRUZ    CA ",-1.60
05/07/2024,55429504128713104926335,"NATIONAL BOARD OF MEDI 2155909700 PA","2155909700    PA ",-60.00
05/07/2024,55541864127004023127540,"ROSS STORE 418 SANTA CRUZ CA","SANTA CRUZ    CA ",-117.96
05/07/2024,55263524127837001339371,"SAFEWAY #2607 SANTA CRUZ CA","SANTA CRUZ    CA ",-32.40
05/07/2024,55432864127209438838886,"TST* ZACHARYS RESTAURA Santa Cruz CA","Santa Cruz    CA ",-55.00
05/06/2024,02305374127000463375159,"CVS/PHARMACY #09332 SANTA CRUZ CA","SANTA CRUZ    CA ",-69.59
05/06/2024,55506294127839000387093,"SANTA CRUZ GAS & SHOP SANTA CRUZ CA","SANTA CRUZ    CA ",-46.36
05/06/2024,55417344126871264027000,"SPIRIT AI 48703912271060 MIRAMAR FL","MIRAMAR       FL ",-190.09
05/03/2024,22303794123000275036919,"7-ELEVEN 16346 SANTA CRUZ CA","SANTA CRUZ    CA ",-14.27
05/02/2024,55310204122838002430943,"HUDSON ST2045 LAS VEGAS NV","LAS VEGAS     NV ",-4.99
05/02/2024,55432864122207831563908,"SHAKE SHACK LAS LAS VEGAS NV","LAS VEGAS     NV ",-15.50
04/30/2024,55506294120726634661729,"SALT LAKE EXPRESS REXBURG ID","REXBURG       ID ",-57.20
04/29/2024,52708244120838005400310,"ST GEORGE AIRPORT ST GEORGE UT","ST GEORGE     UT ",-1.70
04/29/2024,05140484119740264213153,"MAVERIK #487 ST GEORGE UT","ST GEORGE     UT ",-32.95
04/29/2024,05140484119740264213146,"MAVERIK #487 ST GEORGE UT","ST GEORGE     UT ",-0.71
04/29/2024,05436844120600033307881,"GOLDEN CORRAL 2496 SAINT GEORGE UT","SAINT GEORGE  UT ",-21.53
