Posted Date,Reference Number,Payee,Address,Amount
09/23/2024,                       ,"INTEREST CHARGED ON PURCHASES","",-4.75
09/17/2024,26173400000847000000051,"BA ELECTRONIC PAYMENT","",101.20
09/13/2024,87021304257000004468250,"OPENAI *CHATGPT SUBSCR SAN FRANCISCOCA","SAN FRANCISCO CA ",-20.00
09/12/2024,55432864255207932967262,"AMAZON MKTPL*Z810Q3L61 Amzn.com/billWA","Amzn.com/bill WA ",-25.67
09/10/2024,12302024254000700324083,"Microsoft*Ultimate 1 M Redmond WA","Redmond       WA ",-16.99
09/04/2024,24773400000847000100801,"BA ELECTRONIC PAYMENT","",772.10
09/04/2024,82305094247000032082626,"AMAZON MARK* ZT1TP6PB2 SEATTLE WA","SEATTLE       WA ",-38.54
08/31/2024,82305094244000000074665,"AMAZON MARK* RK1JM8GK0 SEATTLE WA","SEATTLE       WA ",-10.66
08/26/2024,55432864238202514574695,"AMAZON MKTPL*R46HA2B90 Amzn.com/billWA","Amzn.com/bill WA ",-16.00
08/24/2024,52704874236041894651494,"TACO BELL 725391 ST GEORGE UT","ST GEORGE     UT ",-12.89
