TransactionDate,Description,Category,Type,Amount
12/30/2023,AMERIPAK,Gas,Sale,-29.94
12/30/2023,PAYRANGE MOBILE,Bills & Utilities,Sale,-10.0
12/29/2023,GRAPEVINE FOOD MART,Gas,Sale,-25.0
12/28/2023,76 - CF UNITED LLC 270,Gas,Sale,-40.63
12/25/2023,VONS #2370,Groceries,Sale,-29.35
12/24/2023,SHELL OIL10007842015,Gas,Sale,-43.62
12/25/2023,CVS CarePass,Health & Wellness,Sale,-5.0
12/25/2023,SHELL OIL10007842015,Gas,Sale,-32.93
12/25/2023,Groupon  Inc.,Personal,Sale,-27.0
12/24/2023,WAL-MART #5807,Groceries,Sale,-67.84
12/24/2023,GOOD CHOP,Groceries,Sale,-108.99
12/23/2023,TAMPOPO RESTAURANT,Food & Drink,Sale,-78.85
12/23/2023,WAL-MART #5807,Groceries,Sale,-17.4
12/22/2023,WAL-MART #5807,Groceries,Sale,-58.08
12/22/2023,OASIS,Gas,Sale,-25.98
12/21/2023,WEST SAN JOSE GROCE,Groceries,Sale,-32.93
12/21/2023,SAV ON GASOLINE INC,Gas,Sale,-25.0
12/21/2023,PAYRANGE MOBILE,Bills & Utilities,Sale,-10.0
12/21/2023,24 Hour Fitness USA  I,Health & Wellness,Sale,-36.76
12/17/2023,IN-N-OUT MILPITAS,Food & Drink,Sale,-15.09
12/18/2023,PAYRANGE MOBILE,Bills & Utilities,Sale,-10.0
12/18/2023,JTI*TWITCHTV SUB SRVCS,Bills & Utilities,Sale,-4.99
12/18/2023,APPLE.COM/BILL,Shopping,Sale,-5.99
12/18/2023,GREAT GAS LOS GATOS,Gas,Sale,-30.0
12/15/2023,PAPA`S GOT JERK,Food & Drink,Sale,-14.38
12/15/2023,SWITCHPOINT THRIFT STORE,Shopping,Sale,-3.0
12/16/2023,TST* MILLCREEK COFFEE ROA,Food & Drink,Sale,-6.01
12/15/2023,PAYRANGE MOBILE,Bills & Utilities,Sale,-10.0
12/15/2023,HARMONS-SANTA CLARA,Groceries,Sale,-6.8
12/15/2023,Spotify USA,Bills & Utilities,Sale,-10.99
12/11/2023,SQ *FEELLOVE COFFEE AT SN,Food & Drink,Sale,-14.22
12/10/2023,PAYRANGE MOBILE,Bills & Utilities,Sale,-10.0
12/07/2023,HARMONS-SANTA CLARA,Groceries,Sale,-21.81
12/02/2023,SQ *YUMMY AREPAS,Food & Drink,Sale,-16.16
12/02/2023,PAYRANGE MOBILE,Bills & Utilities,Sale,-10.0
12/01/2023,HARMONS-SANTA CLARA,Groceries,Sale,-4.75
11/28/2023,MAVERIK #680,Gas,Sale,-23.02
11/28/2023,SQ *TIENDITA LUZITA,Groceries,Sale,-24.29
11/28/2023,DIGBY'S MARKET,Groceries,Sale,-9.76
11/27/2023,SQ *FEELLOVE COFFEE AT SN,Food & Drink,Sale,-4.44
11/27/2023,SQ *FEELLOVE COFFEE AT SN,Food & Drink,Sale,-4.2
11/26/2023,PAYRANGE MOBILE,Bills & Utilities,Sale,-10.0
11/25/2023,CVS CarePass,Health & Wellness,Sale,-5.0
11/24/2023,PETSMART # 2084,Shopping,Sale,-32.0
11/24/2023,CONOCO - PWI 819 CONOC,Gas,Sale,-7.24
11/22/2023,SMITH'S FOOD 4077,Groceries,Sale,-12.86
11/22/2023,MAVERIK #538,Gas,Sale,-1.8
11/18/2023,JTI*TWITCHTV SUB SRVCS,Bills & Utilities,Sale,-4.99
11/18/2023,APPLE.COM/BILL,Shopping,Sale,-5.99
11/15/2023,HARMONS-SANTA CLARA,Groceries,Sale,-4.54
11/15/2023,HARMONS-SANTA CLARA,Groceries,Sale,-27.95
11/15/2023,HARMONS-SANTA CLARA,Groceries,Sale,-1.08
11/15/2023,HARMONS-SANTA CLARA,Groceries,Sale,-6.92
11/15/2023,Spotify USA,Bills & Utilities,Sale,-10.99
11/11/2023,HARMONS-SANTA CLARA,Groceries,Sale,-87.0
11/06/2023,WWW.DIGNIT* DIGNITY HE,Health & Wellness,Return,25.0
11/07/2023,Red Rock Dry Cleaners,Personal,Sale,-41.36
11/05/2023,GOOGLE *Google Storage,Professional Services,Sale,-1.49
11/05/2023,GOOGLE *Google Storage,Shopping,Sale,-1.49
10/30/2023,SANTA CRUZ TOYOTA.,Automotive,Sale,-229.38
10/27/2023,APPLE.COM/BILL,Shopping,Sale,-4.99
10/25/2023,CVS CarePass,Health & Wellness,Sale,-5.0
10/24/2023,PAYRANGE MOBILE,Bills & Utilities,Sale,-25.0
10/24/2023,ROCKY VISTA HEALTH CENTER,Health & Wellness,Sale,-30.0
10/22/2023,HARMONS-SANTA CLARA,Groceries,Sale,-5.67
10/22/2023,HARMONS-SANTA CLARA,Groceries,Sale,-41.35
