Posted Date,Reference Number,Payee,Address,Amount
04/22/2024,55432864112204673078394,"AMZN Mktp US*T09SH86D3 Amzn.com/billWA","Amzn.com/bill WA ",-12.66
04/22/2024,05436844112000295231152,"FAMILY DOLLAR IVINS UT","IVINS         UT ",-10.38
04/19/2024,55506294110839000512277,"US PRO GAS SANTA CRUZ CA","SANTA CRUZ    CA ",-45.79
04/19/2024,55436874109281092275181,"JOY PARK FLY SAN JOSE CA","SAN JOSE      CA ",-109.96
04/19/2024,22303794109001337979755,"7-ELEVEN 16346 SANTA CRUZ CA","SANTA CRUZ    CA ",-14.27
04/19/2024,82700694109900017091325,"ST. GEORGE SHUTTLE ST GEORGE UT","ST GEORGE     UT ",-47.90
04/17/2024,82305094108000005714815,"WEBOX _ SANTA CLARA CA","SANTA CLARA   CA ",-1.05
04/15/2024,55506294106839000494985,"US PRO GAS SANTA CRUZ CA","SANTA CRUZ    CA ",-38.79
04/15/2024,55506294106839000494993,"US PRO GAS SANTA CRUZ CA","SANTA CRUZ    CA ",-2.75
04/15/2024,55432864105202471347507,"SQ *THE GAME FORTRESS Novato CA","Novato        CA ",-17.51
04/15/2024,55263524104837001141477,"SAFEWAY #2607 SANTA CRUZ CA","SANTA CRUZ    CA ",-77.85
04/13/2024,82711164104000003007777,"CHATGPT SUBSCRIPTION SAN FRANCISCOCA","SAN FRANCISCO CA ",-20.00
04/12/2024,55310204102970551450792,"THE HALAL GUYS SANTA CLARA CA","SANTA CLARA   CA ",-17.45
04/11/2024,22303794101000721775009,"7-ELEVEN 16346 SANTA CRUZ CA","SANTA CRUZ    CA ",-2.94
04/10/2024,52704874100838000538264,"TACO BELL 725391 ST GEORGE UT","ST GEORGE     UT ",-13.82
04/09/2024,10073400000847000117892,"BA ELECTRONIC PAYMENT","",965.71
04/09/2024,75337004100300001164970,"The Adobe Icebox Ivins UT","Ivins         UT ",-13.45
04/08/2024,55506294097726557510845,"SALT LAKE EXPRESS REXBURG ID","REXBURG       ID ",-44.45
04/05/2024,05140484095730264792858,"HARMONS-SANTA CLARA SANTA CLARA UT","SANTA CLARA   UT ",-28.20
04/04/2024,05140484094730261313576,"HARMONS-SANTA CLARA SANTA CLARA UT","SANTA CLARA   UT ",-31.69
04/04/2024,05140484094730261311307,"HARMONS-SANTA CLARA SANTA CLARA UT","SANTA CLARA   UT ",-14.00
04/04/2024,05140484094730261311299,"HARMONS-SANTA CLARA SANTA CLARA UT","SANTA CLARA   UT ",-11.99
04/04/2024,05140484094730264547402,"DIGBY'S MARKET ST. GEORGE UT","ST. GEORGE    UT ",-11.09
04/04/2024,05140484094730264540910,"DIGBY'S MARKET ST. GEORGE UT","ST. GEORGE    UT ",-61.14
04/04/2024,85454914094057398669722,"Premier Dental SAINT GEORGE UT","SAINT GEORGE  UT ",-32.00
04/04/2024,55432864094201915170148,"DUNKIN A6 SJC SAN JOSE CA","SAN JOSE      CA ",-9.38
04/03/2024,55506294093726824835086,"SALT LAKE EXPRESS REXBURG ID","REXBURG       ID ",-79.30
04/03/2024,82305094093000024694706,"CLAUDE.AI SUBSCRIPTION SAN FRANCISCOCA","SAN FRANCISCO CA ",-20.00
04/03/2024,55417344093870935327491,"SPIRIT AI 48703874183370 MIRAMAR FL","MIRAMAR       FL ",-9.00
04/02/2024,55506294093839000444167,"US PRO GAS SANTA CRUZ CA","SANTA CRUZ    CA ",-37.58
04/02/2024,55436874092170923952556,"JOY PARK FLY SAN JOSE CA","SAN JOSE      CA ",-71.51
04/02/2024,22303794092000031395697,"7-ELEVEN 16346 SANTA CRUZ CA","SANTA CRUZ    CA ",-7.47
04/02/2024,82700694092900015387260,"ST. GEORGE SHUTTLE ST GEORGE UT","ST GEORGE     UT ",-28.00
04/02/2024,82700694092900015387203,"ST. GEORGE SHUTTLE ST GEORGE UT","ST GEORGE     UT ",-39.90
04/01/2024,55432864092201096634336,"INTUIT *TURBOTAX CL.INTUIT.COMCA","CL.INTUIT.COM CA ",-237.00
04/01/2024,55263524091837001900406,"SAFEWAY #0799 SANTA CRUZ CA","SANTA CRUZ    CA ",-13.51
04/01/2024,55417344090870904875226,"SPIRIT AI 48703870024090 MIRAMAR FL","MIRAMAR       FL ",-100.09
04/01/2024,55417344090870904843216,"SPIRIT AI 48703870067870 MIRAMAR FL","MIRAMAR       FL ",-39.09
03/30/2024,05140484089740294417093,"HERNANDEZ MARKET #2 SANTA CRUZ CA","SANTA CRUZ    CA ",-19.46
03/30/2024,75181174089900010000074,"EMA KARAOKE AND BAR SANTA CLARA CA","SANTA CLARA   CA ",-32.74
03/29/2024,55432864088200189020755,"MASABI_SCMETRO 831-425-8600 CA","831-425-8600  CA ",-3.50
03/27/2024,82305094086000025205683,"WEBOX _ SANTA CLARA CA","SANTA CLARA   CA ",-1.05
03/26/2024,55432864085209246005363,"MASABI_SCMETRO 831-425-8600 CA","831-425-8600  CA ",1.00
03/26/2024,55432864085209246005348,"MASABI_SCMETRO 831-425-8600 CA","831-425-8600  CA ",-1.00
03/26/2024,55432864085209246005199,"MASABI_SCMETRO 831-425-8600 CA","831-425-8600  CA ",-1.00
03/26/2024,55432864085209246005132,"MASABI_SCMETRO 831-425-8600 CA","831-425-8600  CA ",-1.00
03/26/2024,55417344085870854402408,"SPIRIT AI 48703864783180 MIRAMAR FL","MIRAMAR       FL ",-65.18
03/25/2024,08573400000847000041646,"BA ELECTRONIC PAYMENT","",163.11
03/25/2024,08473400000847000041639,"BA ELECTRONIC PAYMENT","",163.11
03/25/2024,02305374084000477850503,"CVS/PHARMACY #09332 SANTA CRUZ CA","SANTA CRUZ    CA ",-31.91
03/25/2024,55263524083837001035377,"SAFEWAY #2607 SANTA CRUZ CA","SANTA CRUZ    CA ",-31.41
03/25/2024,55263524083837001055557,"SAFEWAY #2607 SANTA CRUZ CA","SANTA CRUZ    CA ",-15.18
