Transaction Date,Post Date,Description,Category,Type,Amount,Memo
12/29/2024,12/30/2024,BURGER KING #8067,Food & Drink,Sale,-20.56,
12/29/2024,12/29/2024,LATE FEE,Fees & Adjustments,Fee,-27.00,
12/28/2024,12/29/2024,AMAZON MKTPL*ZE4796ZN1,Shopping,Sale,-16.32,
12/24/2024,12/27/2024,PAYPAL *JAGEX LTD,Entertainment,Sale,-13.99,
12/25/2024,12/26/2024,AMAZON MKTPL*ZE3301SM2,Shopping,Sale,-35.22,
12/24/2024,12/25/2024,APPLE.COM/BILL,Shopping,Sale,-2.99,
12/23/2024,12/25/2024,McDonalds 26091,Food & Drink,Sale,-10.59,
12/23/2024,12/24/2024,ROVER.COM* PET SVCS.,Personal,Sale,-55.50,
12/22/2024,12/23/2024,McDonalds 20759,Food & Drink,Sale,-13.66,
12/21/2024,12/22/2024,SQ *MEDUSA'S PIERCING STU,Personal,Sale,-77.00,
12/21/2024,12/22/2024,DIGBY'S MARKET,Groceries,Sale,-12.21,
12/19/2024,12/20/2024,AMAZON MKTPL*Z970V6HO2,Shopping,Sale,-40.65,
12/19/2024,12/20/2024,BASKIN #356720,Food & Drink,Sale,-7.34,
12/17/2024,12/18/2024,UEP*SUMO SHABU SHABU &amp; KO,Food & Drink,Sale,-65.95,
12/15/2024,12/16/2024,McDonalds 20759,Food & Drink,Sale,-12.48,
12/14/2024,12/16/2024,ALBERTSONS #1329,Groceries,Sale,-45.38,
12/14/2024,12/15/2024,AMAZON MKTPL*ZX38V4G61,Shopping,Sale,-22.41,
12/13/2024,12/15/2024,COSTCO WHSE #0672,Shopping,Sale,-34.64,
12/13/2024,12/15/2024,COSTCO WHSE #0672,Shopping,Sale,-7.18,
12/10/2024,12/11/2024,Southwest Skin and Can,Health & Wellness,Sale,-48.01,
12/09/2024,12/10/2024,Amazon Prime*ZR0Q66D20,Bills & Utilities,Sale,-16.45,
12/07/2024,12/08/2024,SQ *DICKENS' CHRISTMAS FE,Entertainment,Sale,-24.00,
12/06/2024,12/08/2024,COSTCO WHSE #0672,Shopping,Sale,-108.55,
12/06/2024,12/08/2024,COSTCO WHSE #0672,Shopping,Sale,-6.43,
12/07/2024,12/08/2024,BURGER KING #10527,Food & Drink,Sale,-13.02,
12/06/2024,12/08/2024,PERFORMANCE FITNESS - ST,Entertainment,Sale,-32.01,
12/06/2024,12/08/2024,DIGBY'S MARKET,Groceries,Sale,-35.76,
12/05/2024,12/06/2024,Disney Plus,Bills & Utilities,Sale,-10.66,
12/05/2024,12/06/2024,D.U.B.'S BBQ,Food & Drink,Sale,-18.20,
12/04/2024,12/05/2024,AMAZON MKTPL*ZL6HV9WD2,Shopping,Sale,-10.66,
12/04/2024,12/05/2024,DD *DOORDASH REDCLIFFS,Food & Drink,Sale,-20.54,
12/03/2024,12/04/2024,Amazon web services,Personal,Sale,-12.74,
11/27/2024,12/02/2024,PAYPAL *JAGEX LTD,Entertainment,Sale,-13.99,
11/27/2024,12/02/2024,PAYPAL *JAGEX LTD,Entertainment,Sale,-21.99,
11/30/2024,12/02/2024,CHICK-FIL-A #04568,Food & Drink,Sale,-13.65,
11/29/2024,12/01/2024,COSTCO GAS #0469,Gas,Sale,-18.62,
11/30/2024,12/01/2024,DIGBY'S MARKET,Groceries,Sale,-20.60,
11/29/2024,12/01/2024,COSTCO WHSE #0469,Shopping,Sale,-8.65,
11/30/2024,12/01/2024,MOBETTAHSHAWAIIAN 357,Food & Drink,Sale,-15.07,
11/28/2024,11/29/2024,McDonalds 10803,Food & Drink,Sale,-14.84,
11/27/2024,11/28/2024,MCDONALD'S F10803,Food & Drink,Sale,-0.85,
11/26/2024,11/27/2024,Payment Thank You - Web,,Payment,106.37,
11/25/2024,11/26/2024,DIGBY'S MARKET,Groceries,Sale,-11.09,
11/25/2024,11/26/2024,APPLE.COM/BILL,Shopping,Sale,-2.99,
11/25/2024,11/26/2024,AMAZON MKTPL*3W80S05I3,Shopping,Sale,-20.49,
11/24/2024,11/25/2024,McDonalds 20759,Food & Drink,Sale,-6.43,
11/22/2024,11/24/2024,AMAZON MKTPL*4J5NA60H3,Shopping,Sale,-10.66,
11/22/2024,11/24/2024,COSTCO WHSE #0672,Shopping,Sale,-54.66,
11/23/2024,11/24/2024,JOANN STORES #2329,Shopping,Return,26.85,
11/22/2024,11/24/2024,COSTCO WHSE #0672,Shopping,Sale,-5.03,
11/23/2024,11/24/2024,D.U.B.'S BBQ,Food & Drink,Sale,-21.20,
11/22/2024,11/24/2024,COSTCO WHSE #0672,Shopping,Sale,-4.29,
11/22/2024,11/24/2024,JOANN STORES #2329,Shopping,Sale,-30.95,
11/19/2024,11/20/2024,Payment Thank You - Web,,Payment,908.89,
11/16/2024,11/18/2024,CARLS JR 1101940 ONLINE,Food & Drink,Sale,-10.22,
11/16/2024,11/17/2024,PAYPAL *STEAM GAMES,Entertainment,Sale,-8.97,
11/15/2024,11/17/2024,SQ *PAWS THRIFT STORE,Groceries,Sale,-5.25,
11/15/2024,11/17/2024,DIGBY'S MARKET,Groceries,Sale,-64.41,
11/15/2024,11/17/2024,COSTCO WHSE #0672,Shopping,Sale,-138.39,
11/15/2024,11/17/2024,COSTCO WHSE #0672,Shopping,Sale,-5.90,
11/13/2024,11/15/2024,CHICK-FIL-A #03006,Food & Drink,Sale,-5.81,
11/13/2024,11/14/2024,Amazon.com*H27384ZA3,Shopping,Sale,-53.84,
11/12/2024,11/13/2024,RED MOUNTAIN MARKET,Groceries,Sale,-14.49,
11/11/2024,11/11/2024,PAYPAL *WINGSTOP 2205,Food & Drink,Sale,-18.99,
11/10/2024,11/11/2024,AMAZON MKTPL*Z42SJ4T93,Shopping,Sale,-71.02,
11/09/2024,11/11/2024,ALBERTSONS #1329,Groceries,Sale,-10.91,
11/10/2024,11/11/2024,Amazon.com*4T7DN4MY3,Shopping,Sale,-12.70,
11/10/2024,11/11/2024,McDonalds 20759,Food & Drink,Sale,-13.66,
11/09/2024,11/10/2024,Amazon Prime*F54H60KB3,Bills & Utilities,Sale,-16.45,
11/08/2024,11/10/2024,COSTCO WHSE #0672,Shopping,Sale,-107.04,
11/08/2024,11/10/2024,DIGBY'S MARKET,Groceries,Sale,-18.24,
11/08/2024,11/10/2024,COSTCO WHSE #0672,Shopping,Sale,-4.29,
11/08/2024,11/10/2024,DIGBY'S MARKET,Groceries,Sale,-15.78,
11/08/2024,11/10/2024,BEST BUY      00008912,Shopping,Sale,-76.39,
11/07/2024,11/08/2024,ICE CREAM FACTORY,Food & Drink,Sale,-1.90,
11/06/2024,11/07/2024,PERFORMANCE FITNESS - 2 -,Health & Wellness,Sale,-32.01,
11/02/2024,11/04/2024,ST. GEORGE SHUTTLE,Travel,Sale,-47.90,
11/03/2024,11/04/2024,DIGBY'S MARKET,Groceries,Sale,-4.12,
11/03/2024,11/04/2024,COSTCO WHSE #0672,Shopping,Sale,-6.97,
11/02/2024,11/04/2024,CHICK-FIL-A #03006,Food & Drink,Sale,-15.81,
11/01/2024,11/03/2024,KFC/AW #526,Food & Drink,Sale,-16.45,
