TransactionDate,Description,Category,Type,Amount
12/31/2023,ROVER.COM* PET SVCS.,Personal,Sale,-27.75
12/29/2023,AMZN Mktp US*7778F14H3,Shopping,Sale,-19.56
12/29/2023,SAFEWAY #2607,Groceries,Sale,-47.35
12/29/2023,GRAPEVINE FOOD MART,Gas,Sale,-8.33
12/30/2023,JACK IN THE BOX 3194,Food & Drink,Sale,-13.83
12/27/2023,SDIA AIRPORT PARKING,Travel,Sale,-5.0
12/28/2023,AMZN Mktp US*C95368BO3,Shopping,Sale,-83.02
12/27/2023,CARLS JR 1100095,Food & Drink,Sale,-12.6
12/27/2023,CVS/PHARMACY #09173,Health & Wellness,Sale,-8.17
12/26/2023,BEST BUY MHT  00004382,Shopping,Sale,-121.16
12/24/2023,APPLE.COM/BILL,Shopping,Sale,-2.99
12/23/2023,PAR*YOSHINOYA - 1272,Food & Drink,Sale,-13.99
12/22/2023,PAYPAL *FRONTGATETX SICKN,Entertainment,Sale,-214.96
12/22/2023,McDonalds 5461,Food & Drink,Sale,-7.51
12/23/2023,EL SUPER #44,Groceries,Sale,-4.58
12/21/2023,SHELL OIL 57444213508,Gas,Sale,-4.68
12/21/2023,AMZN Mktp US*OH54P5QE3,Shopping,Sale,-15.08
12/20/2023,LYFT   *1 RIDE 12-19,Travel,Sale,-18.77
12/19/2023,COMCAST CALIFORNIA,Bills & Utilities,Sale,-76.0
12/18/2023,HERNANDEZ MARKET #2,Groceries,Sale,-7.14
12/16/2023,SAFEWAY #2607,Groceries,Sale,-76.91
12/17/2023,AMZN Mktp US*QF9417G53,Shopping,Sale,-78.1
12/17/2023,RAO*CA HUNT&amp;FISH,Bills & Utilities,Sale,-19.18
12/17/2023,AMZN Mktp US*FG6II34W3,Shopping,Sale,-25.62
12/16/2023,DELTA AIR   Baggage Fee,Travel,Sale,-30.0
12/16/2023,COSTCO WHSE #0149,Shopping,Sale,-43.99
12/15/2023,TMOBILE*AUTO PAY,Bills & Utilities,Sale,-173.66
12/15/2023,SAFEWAY #2607,Groceries,Sale,-48.72
12/16/2023,HERNANDEZ MARKET #2,Groceries,Sale,-18.49
12/15/2023,24 Hour Fitness USA  I,Health & Wellness,Sale,-43.99
12/15/2023,WESTSIDE FIT-BOXING,Health & Wellness,Sale,-170.0
12/14/2023,US PRO GAS,Gas,Sale,-31.58
12/12/2023,AMZN Mktp US*QI4BY3V93,Shopping,Sale,-13.1
12/13/2023,CHATGPT SUBSCRIPTION,Shopping,Sale,-20.0
12/10/2023,CARLS JR,Food & Drink,Sale,-13.88
12/10/2023,7-ELEVEN 16346,Gas,Sale,-5.98
12/10/2023,RAO*CA HUNT&amp;FISH,Bills & Utilities,Sale,-58.58
